"SECTOR","PERIOD","COFOG","UNIT_MEAS","VALUE"
"S1311","1995","GF0505","SHARE","0.210241160801233"
"S1311","1995","GF0506","MCHF","48.61121713"
"S1311","1995","GF0506","SHARE","0.113989219929011"
"S1311","1995","GF06","MCHF","71.32523135"
"S1311","1995","GF06","SHARE","0.167251674877837"
"S1311","1995","GF0601","MCHF","0"
"S1311","1995","GF0601","SHARE","0"
"S1311","1995","GF0602","MCHF","67.54943191"
"S1311","1995","GF0602","SHARE","0.158397742427988"
"S1311","1995","GF0603","MCHF","3.77579944"
"S1311","1995","GF0603","SHARE","0.00885393244984968"
"S1311","1995","GF0604","MCHF","0"
"S1311","1995","GF0604","SHARE","0"
"S1311","1995","GF0605","MCHF","0"
"S1311","1995","GF0605","SHARE","0"
"S1311","1995","GF0606","MCHF","0"
"S1311","1995","GF0606","SHARE","0"
"S1311","1995","GF07","MCHF","192.02778039"
"S1311","1995","GF07","SHARE","0.450289011131277"
"S1311","1995","GF0701","MCHF","0"
"S1311","1995","GF0701","SHARE","0"
"S1311","1995","GF0702","MCHF","0"
"S1311","1995","GF0702","SHARE","0"
"S1311","1995","GF0703","MCHF","7.1875672"
"S1311","1995","GF0703","SHARE","0.0168542411954898"
"S1311","1995","GF0704","MCHF","63.12855125"
"S1311","1995","GF0704","SHARE","0.148031148715985"
"S1311","1995","GF0705","MCHF","47.81769841"
"S1311","1995","GF0705","SHARE","0.112128485200852"
"S1311","1995","GF0706","MCHF","73.89396353"
"S1311","1995","GF0706","SHARE","0.17327513601895"
"S1311","1995","GF08","MCHF","1379.25018953"
"S1311","1995","GF08","SHARE","3.23422581193587"
"S1311","1995","GF0801","MCHF","98.18705707"
"S1311","1995","GF0801","SHARE","0.230240399301324"
"S1311","1995","GF0802","MCHF","195.96183517"
"S1311","1995","GF0802","SHARE","0.459514039057052"
"S1311","1995","GF0803","MCHF","1083.6533"
"S1311","1995","GF0803","SHARE","2.54107594159098"
"S1311","1995","GF0804","MCHF","0"
"S1311","1995","GF0804","SHARE","0"
"S1311","1995","GF0805","MCHF","1.44799729"
"S1311","1995","GF0805","SHARE","0.00339543198651075"
"S1311","1995","GF0806","MCHF","0"
"S1311","1995","GF0806","SHARE","0"
"S1311","1995","GF09","MCHF","2096.34427169"
"S1311","1995","GF09","SHARE","4.91575118544236"
"S1311","1995","GF0901","MCHF","0"
"S1311","1995","GF0901","SHARE","0"
"S1311","1995","GF0902","MCHF","571.93060737"
"S1311","1995","GF0902","SHARE","1.34112922153923"
"S1311","1995","GF0903","MCHF","0"
"S1311","1995","GF0903","SHARE","0"
"S1311","1995","GF0904","MCHF","1315.19659064"
"S1311","1995","GF0904","SHARE","3.08402550422518"
"S1311","1995","GF0905","MCHF","94.71051164"
"S1311","1995","GF0905","SHARE","0.222088192362056"
"S1311","1995","GF0906","MCHF","0"
"S1311","1995","GF0906","SHARE","0"
"S1311","1995","GF0907","MCHF","90.85069989"
"S1311","1995","GF0907","SHARE","0.213037258103843"
"S1311","1995","GF0908","MCHF","23.65586215"
"S1311","1995","GF0908","SHARE","0.0554710092120401"
"S1311","1995","GF10","MCHF","10615.39164346"
"S1311","1995","GF10","SHARE","24.8922015147853"
"S1311","1995","GF1001","MCHF","4749.17558262"
"S1311","1995","GF1001","SHARE","11.1364177227043"
"S1311","1995","GF1002","MCHF","4484.16450962"
"S1311","1995","GF1002","SHARE","10.5149890223483"
"S1311","1995","GF1003","MCHF","228.16092838"
"S1311","1995","GF1003","SHARE","0.535018207315458"
"S1311","1995","GF1004","MCHF","146.86454831"
"S1311","1995","GF1004","SHARE","0.344385026450034"
"S1311","1995","GF1005","MCHF","18.01845739"
"S1311","1995","GF1005","SHARE","0.0422517686960499"
"S1311","1995","GF1006","MCHF","113.32001452"
"S1311","1995","GF1006","SHARE","0.265725913073409"
"S1311","1995","GF1007","MCHF","875.03949987"
"S1311","1995","GF1007","SHARE","2.05189410770166"
"S1311","1995","GF1008","MCHF","0.64810275"
"S1311","1995","GF1008","SHARE","0.00151974649613853"
"S1311","1995","GF1009","MCHF","0"
"S1311","1995","GF1009","SHARE","0"
"S1312","1995","Total","MCHF","49348.83284034"
"S1312","1995","Total","SHARE","100"
"S1312","1995","GF01","MCHF","7849.25770167"
"S1312","1995","GF01","SHARE","15.9056602758265"
"S1312","1995","GF0101","MCHF","1262.00388813"
"S1312","1995","GF0101","SHARE","2.55731253505631"
"S1312","1995","GF0102","MCHF","0"
"S1312","1995","GF0102","SHARE","0"
"S1312","1995","GF0103","MCHF","1693.66706158"
"S1312","1995","GF0103","SHARE","3.43203063598197"
"S1312","1995","GF0104","MCHF","1384.05513382"
"S1312","1995","GF0104","SHARE","2.80463600486334"
"S1312","1995","GF0105","MCHF","0"
"S1312","1995","GF0105","SHARE","0"
"S1312","1995","GF0106","MCHF","0"
"S1312","1995","GF0106","SHARE","0"
"S1312","1995","GF0107","MCHF","2389.03911025"
"S1312","1995","GF0107","SHARE","4.84112586406925"
"S1312","1995","GF0108","MCHF","1120.49250789"
"S1312","1995","GF0108","SHARE","2.27055523585567"
"S1312","1995","GF02","MCHF","420.78276268"
"S1312","1995","GF02","SHARE","0.852670141239962"
"S1312","1995","GF0201","MCHF","222.50834906"
"S1312","1995","GF0201","SHARE","0.450888777410175"
"S1312","1995","GF0202","MCHF","198.27441362"
"S1312","1995","GF0202","SHARE","0.401781363829787"
"S1312","1995","GF0203","MCHF","0"
"S1312","1995","GF0203","SHARE","0"
"S1312","1995","GF0204","MCHF","0"
"S1312","1995","GF0204","SHARE","0"
"S1312","1995","GF0205","MCHF","0"
"S1312","1995","GF0205","SHARE","0"
"S1312","1995","GF03","MCHF","4127.41583391"
"S1312","1995","GF03","SHARE","8.36375572906369"
"S1312","1995","GF0301","MCHF","1795.86205964"
"S1312","1995","GF0301","SHARE","3.63911759666174"
"S1312","1995","GF0302","MCHF","61.00305389"
"S1312","1995","GF0302","SHARE","0.123616001390277"
"S1312","1995","GF0303","MCHF","885.1184853"
"S1312","1995","GF0303","SHARE","1.79359558140646"
"S1312","1995","GF0304","MCHF","652.38674403"
"S1312","1995","GF0304","SHARE","1.3219902203983"
"S1312","1995","GF0305","MCHF","0"
"S1312","1995","GF0305","SHARE","0"
"S1312","1995","GF0306","MCHF","733.04549105"
"S1312","1995","GF0306","SHARE","1.48543632920691"
"S1312","1995","GF04","MCHF","8526.64367132"
"S1312","1995","GF04","SHARE","17.2783086864618"
"S1312","1995","GF0401","MCHF","128.62883893"
"S1312","1995","GF0401","SHARE","0.260652241454539"
"S1312","1995","GF0402","MCHF","2625.93105555"
"S1312","1995","GF0402","SHARE","5.32116142249152"
"S1312","1995","GF0403","MCHF","88.41448015"
"S1312","1995","GF0403","SHARE","0.179162251792358"
"S1312","1995","GF0404","MCHF","0"
"S1312","1995","GF0404","SHARE","0"
"S1312","1995","GF0405","MCHF","5356.00011484"
"S1312","1995","GF0405","SHARE","10.8533470936759"
"S1312","1995","GF0406","MCHF","0.273742"
"S1312","1995","GF0406","SHARE","0.000554708154670338"
"S1312","1995","GF0407","MCHF","315.9718923"
"S1312","1995","GF0407","SHARE","0.640282402062628"
"S1312","1995","GF0408","MCHF","1.11797163"
"S1312","1995","GF0408","SHARE","0.00226544695315695"
"S1312","1995","GF0409","MCHF","10.30557592"
"S1312","1995","GF0409","SHARE","0.0208831198771043"
"S1312","1995","GF05","MCHF","897.84385272"
"S1312","1995","GF05","SHARE","1.81938214349431"
"S1312","1995","GF0501","MCHF","213.00757379"
"S1312","1995","GF0501","SHARE","0.431636497825898"
"S1312","1995","GF0502","MCHF","526.41346294"
"S1312","1995","GF0502","SHARE","1.06671917579717"
"S1312","1995","GF0503","MCHF","0"
"S1312","1995","GF0503","SHARE","0"
"S1312","1995","GF0504","MCHF","62.65605328"
"S1312","1995","GF0504","SHARE","0.126965623447901"
"S1312","1995","GF0505","MCHF","0"
"S1312","1995","GF0505","SHARE","0"
"S1312","1995","GF0506","MCHF","95.76676271"
"S1312","1995","GF0506","SHARE","0.194060846423334"
"S1312","1995","GF06","MCHF","203.33860942"
"S1312","1995","GF06","SHARE","0.412043401467809"
"S1312","1995","GF0601","MCHF","0"
"S1312","1995","GF0601","SHARE","0"
"S1312","1995","GF0602","MCHF","148.24232282"
"S1312","1995","GF0602","SHARE","0.3003968164751"
"S1312","1995","GF0603","MCHF","55.0962866"
"S1312","1995","GF0603","SHARE","0.111646584992709"
"S1312","1995","GF0604","MCHF","0"
"S1312","1995","GF0604","SHARE","0"
"S1312","1995","GF0605","MCHF","0"
"S1312","1995","GF0605","SHARE","0"
"S1312","1995","GF0606","MCHF","0"
"S1312","1995","GF0606","SHARE","0"
"S1312","1995","GF07","MCHF","4622.73332293"
"S1312","1995","GF07","SHARE","9.36746232253575"
"S1312","1995","GF0701","MCHF","0"
"S1312","1995","GF0701","SHARE","0"
"S1312","1995","GF0702","MCHF","74.27629915"
"S1312","1995","GF0702","SHARE","0.150512777861046"
"S1312","1995","GF0703","MCHF","4100.4891383"
"S1312","1995","GF0703","SHARE","8.30919173218636"
"S1312","1995","GF0704","MCHF","279.25530089"
"S1312","1995","GF0704","SHARE","0.565880254541145"
"S1312","1995","GF0705","MCHF","0"
"S1312","1995","GF0705","SHARE","0"
"S1312","1995","GF0706","MCHF","168.71258459"
"S1312","1995","GF0706","SHARE","0.341877557947199"
"S1312","1995","GF08","MCHF","1137.48241977"
"S1312","1995","GF08","SHARE","2.30498342980094"
"S1312","1995","GF0801","MCHF","209.02932683"
"S1312","1995","GF0801","SHARE","0.423575016467522"
"S1312","1995","GF0802","MCHF","700.12041024"
"S1312","1995","GF0802","SHARE","1.4187172622808"
"S1312","1995","GF0803","MCHF","4.4235088"
"S1312","1995","GF0803","SHARE","0.00896375566634277"
"S1312","1995","GF0804","MCHF","223.9091739"
"S1312","1995","GF0804","SHARE","0.453727395386272"
"S1312","1995","GF0805","MCHF","0"
"S1312","1995","GF0805","SHARE","0"
"S1312","1995","GF0806","MCHF","0"
"S1312","1995","GF0806","SHARE","0"
"S1312","1995","GF09","MCHF","13632.93168655"
"S1312","1995","GF09","SHARE","27.6256415843858"
"S1312","1995","GF0901","MCHF","2812.02982158"
"S1312","1995","GF0901","SHARE","5.69827017120721"
"S1312","1995","GF0902","MCHF","6105.49518773"
"S1312","1995","GF0902","SHARE","12.3721166972344"
"S1312","1995","GF0903","MCHF","0"
"S1312","1995","GF0903","SHARE","0"
"S1312","1995","GF0904","MCHF","3170.95922881"
"S1312","1995","GF0904","SHARE","6.42560126815788"
"S1312","1995","GF0905","MCHF","1217.5256572"
"S1312","1995","GF0905","SHARE","2.46718227589922"
"S1312","1995","GF0906","MCHF","0"
"S1312","1995","GF0906","SHARE","0"
"S1312","1995","GF0907","MCHF","0"
"S1312","1995","GF0907","SHARE","0"
"S1312","1995","GF0908","MCHF","326.92179123"
"S1312","1995","GF0908","SHARE","0.662471171887087"
"S1312","1995","GF10","MCHF","7930.40297937"
"S1312","1995","GF10","SHARE","16.0700922857234"
"S1312","1995","GF1001","MCHF","2792.9737898"
"S1312","1995","GF1001","SHARE","5.65965521177817"
"S1312","1995","GF1002","MCHF","2640.38291231"
"S1312","1995","GF1002","SHARE","5.3504465259645"
"S1312","1995","GF1003","MCHF","115.0073062"
"S1312","1995","GF1003","SHARE","0.233049698606018"
"S1312","1995","GF1004","MCHF","384.832949"
"S1312","1995","GF1004","SHARE","0.7798217847321"
"S1312","1995","GF1005","MCHF","437.02944463"
"S1312","1995","GF1005","SHARE","0.88559226120694"
"S1312","1995","GF1006","MCHF","220.4016639"
"S1312","1995","GF1006","SHARE","0.446619810873893"
"S1312","1995","GF1007","MCHF","1323.36869974"
"S1312","1995","GF1007","SHARE","2.68166159880932"
"S1312","1995","GF1008","MCHF","0"
"S1312","1995","GF1008","SHARE","0"
"S1312","1995","GF1009","MCHF","16.40621379"
"S1312","1995","GF1009","SHARE","0.033245393752431"
"S1313","1995","Total","MCHF","33434.52742423"
"S1313","1995","Total","SHARE","100"
"S1313","1995","GF01","MCHF","6774.02049703"
"S1313","1995","GF01","SHARE","20.2605540406737"
"S1313","1995","GF0101","MCHF","1099.95856153"
"S1313","1995","GF0101","SHARE","3.28988816732268"
"S1313","1995","GF0102","MCHF","0"
"S1313","1995","GF0102","SHARE","0"
"S1313","1995","GF0103","MCHF","2944.54595529"
"S1313","1995","GF0103","SHARE","8.80690167361566"
"S1313","1995","GF0104","MCHF","0"
"S1313","1995","GF0104","SHARE","0"
"S1313","1995","GF0105","MCHF","0"
"S1313","1995","GF0105","SHARE","0"
"S1313","1995","GF0106","MCHF","0"
"S1313","1995","GF0106","SHARE","0"
"S1313","1995","GF0107","MCHF","2426.82370152"
"S1313","1995","GF0107","SHARE","7.25843578025655"
"S1313","1995","GF0108","MCHF","302.69227869"
"S1313","1995","GF0108","SHARE","0.905328419478838"
"S1313","1995","GF02","MCHF","371.95514209"
"S1313","1995","GF02","SHARE","1.11248810958352"
"S1313","1995","GF0201","MCHF","56.12995037"
"S1313","1995","GF0201","SHARE","0.167880196593784"
"S1313","1995","GF0202","MCHF","315.82519172"
"S1313","1995","GF0202","SHARE","0.944607912989736"
"S1313","1995","GF0203","MCHF","0"
"S1313","1995","GF0203","SHARE","0"
"S1313","1995","GF0204","MCHF","0"
"S1313","1995","GF0204","SHARE","0"
"S1313","1995","GF0205","MCHF","0"
"S1313","1995","GF0205","SHARE","0"
"S1313","1995","GF03","MCHF","1786.99635076"
"S1313","1995","GF03","SHARE","5.34476329838885"
"S1313","1995","GF0301","MCHF","750.7792232"
"S1313","1995","GF0301","SHARE","2.24552066692562"
